|ENTRY   DATA  SCORE |     DATA   |      ABILITY     S.E.  INFT OUTF PTMA |      |
|NUMBER  CODE  VALUE |  COUNT   % |    MEAN    P.SD  MEAN  MNSQ MNSQ CORR.| ITEM |
|--------------------+------------+---------------------------------------+------|
|        2         2 |      6  12 |    -.27*     .33  .15   .9   .8  -.31 |      | 2 Disagree
|        3         3 |     14  29 |     .51      .78  .22  1.3  1.4  -.03 |      | 3 Neutral
|        4         4 |     21  43 |     .69      .78  .17  1.3  1.4   .12 |      | 4 Agree
|        5         5 |      6  12 |    1.23     1.39  .62  1.4  1.3   .25 |      | 5 Strongly agree
|                    |            |                                       |      |
|    3   2         2 |      5  10 |    -.27      .16  .08  1.0   .9  -.28 |SEQ3  | 2 Disagree
|        3         3 |     13  27 |     .34      .81  .23  1.3  1.2  -.13 |      | 3 Neutral
|        4         4 |     29  59 |     .70     1.06  .20  1.9  1.9   .17 |      | 4 Agree
|        5         5 |      2   4 |    1.96      .00  .00   .7   .8   .29 |      | 5 Strongly agree
|                    |            |                                       |      |
|   13   1         1 |      1   2 |   -2.10      .00        .4   .4  -.38 |SEQ13 | 1 Strongly disagree
|        2         2 |      5  10 |     .54     1.10  .55  2.4  2.8  -.01 |      | 2 Disagree
|        3         3 |     10  20 |     .00*     .77  .26   .8   .8  -.28 |      | 3 Neutral
|        4         4 |     30  61 |     .65      .71  .13  1.1  1.1   .12 |      | 4 Agree
|        5         5 |      3   6 |    2.40      .85  .60   .6   .6   .47 |      | 5 Strongly agree
|                    |            |                                       |      |
|   12   1         1 |      1   2 |   -2.10      .00        .4   .4  -.38 |SEQ12 | 1 Strongly disagree
|        2         2 |      3   6 |    1.14      .96  .68  3.8  3.9   .15 |      | 2 Disagree
|        3         3 |     11  22 |     .09*     .83  .26  1.0  1.0  -.25 |      | 3 Neutral
|        4         4 |     31  63 |     .62*     .75  .14  1.2  1.1   .08 |      | 4 Agree
|        5         5 |      3   6 |    1.97     1.32  .93   .9   .8   .36 |      | 5 Strongly agree
|                    |            |                                       |      |
|   14   1         1 |      1   2 |   -2.10      .00        .5   .5  -.38 |SEQ14 | 1 Strongly disagree
|        2         2 |      2   4 |    -.29      .18  .18  1.5  1.3  -.17 |      | 2 Disagree
|        3         3 |     11  22 |     .23      .74  .24  1.2  1.2  -.18 |      | 3 Neutral
|        4         4 |     25  51 |     .48      .80  .16  1.3  1.1  -.07 |      | 4 Agree
|        5         5 |     10  20 |    1.54      .90  .30   .9   .9   .49 |      | 5 Strongly agree
|                    |            |                                       |      |
|   16   3         3 |      7  14 |    -.21      .65  .27  1.1  1.0  -.31 |SEQ16 | 3 Neutral
|        4         4 |     25  51 |     .35      .78  .16  1.0   .8  -.21 |      | 4 Agree
|        5         5 |     17  35 |    1.17     1.09  .27  1.1  1.0   .45 |      | 5 Strongly agree
|                    |            |                                       |      |
|   15   3         3 |      1   2 |    -.82      .00        .9   .7  -.20 |SEQ15 | 3 Neutral
|        4         4 |     26  53 |     .24      .84  .17  1.0   .9  -.34 |      | 4 Agree
|        5         5 |     22  45 |    1.00     1.01  .22  1.1  1.1   .40 |      | 5 Strongly agree
----------------------------------------------------------------------------------
 * Average ability does not ascend with category score
 # Missing % includes all categories. Scored % only of scored categories
