|ENTRY   DATA  SCORE |     DATA   |      ABILITY     S.E.  INFT OUTF PTMA |      |
|NUMBER  CODE  VALUE |  COUNT   % |    MEAN    P.SD  MEAN  MNSQ MNSQ CORR.| ITEM |
|--------------------+------------+---------------------------------------+------|
|   17 c 1         1 |      4   8 |    -.71      .92  .53  1.0   .9  -.38 |SEQ17 | 1 Strongly disagree
|        2         2 |     15  31 |     .01      .76  .20   .9   .9  -.36 |      | 2 Disagree
|        3         3 |     15  31 |     .47      .61  .16   .8   .7  -.06 |      | 3 Neutral
|        4         4 |     14  29 |    1.52      .70  .19   .6   .6   .61 |      | 4 Agree
|        5         5 |      1   2 |    1.66      .00       1.0  1.1   .16 |      | 5 Strongly agree
|                    |            |                                       |      |
|    9 b 1         1 |      2   4 |   -1.19      .28  .28   .6   .6  -.36 |SEQ9  | 1 Strongly disagree
|        2         2 |     10  21 |    -.29      .75  .25   .9   .8  -.43 |      | 2 Disagree
|        3         3 |     13  27 |     .33      .66  .19   .7   .7  -.14 |      | 3 Neutral
|        4         4 |     21  44 |    1.06      .62  .14   .8   .8   .43 |      | 4 Agree
|        5         5 |      2   4 |    2.78      .82  .82   .6   .6   .45 |      | 5 Strongly agree
|        MISSING *** |      1   2#|     .49      .00                 -.01 |      |
|                    |            |                                       |      |
|    8 a 1         1 |      3   6 |   -1.49      .48  .34   .5   .5  -.52 |SEQ8  | 1 Strongly disagree
|        2         2 |      6  12 |    -.53      .23  .10   .4   .4  -.40 |      | 2 Disagree
|        3         3 |     15  31 |     .29      .59  .16   .5   .6  -.17 |      | 3 Neutral
|        4         4 |     23  47 |    1.09      .48  .10   .5   .6   .49 |      | 4 Agree
|        5         5 |      2   4 |    2.78      .82  .82   .6   .6   .45 |      | 5 Strongly agree
----------------------------------------------------------------------------------
 * Average ability does not ascend with category score
 # Missing % includes all categories. Scored % only of scored categories
 
TABLE 10.4 2026 SE Questionnaire (embedded fixed ZOU687WS.TXT  Mar 02 2026 13:09
INPUT: 49 PERSON  18 ITEM  REPORTED: 49 PERSON  18 ITEM  5 CATS WINSTEPS 5.10.0.0
---------------------------------------------------------------------------------
 
MOST MISFITTING RESPONSE STRINGS
         |PERSON
         |33232441 41  1422
OUTMNSQ  |49662836963122951  ITEM
      high-----------------
   1.82 A|..1......5....54. 11 SEQ11
   1.25 B|.2..2............ 12 SEQ12
   1.23 C|..1..............  7 SEQ7
   1.22 D|.2..2......2..... 13 SEQ13
   1.15 E|.3..........25... 14 SEQ14
   1.15 F|255.5............  1 SEQ1
   1.12 G|..2..............  5 SEQ5
   1.01 H|................4  3 SEQ3
   1.01 I|........3.3...... 16 SEQ16
   1.05 i|................4 18 SEQ18
    .99 h|......2.......... 10 SEQ10
    .86 g|.......2.........  2 SEQ2
    .87 f|.5.5.............  6 SEQ6
    .84 d|...2.5...........  4 SEQ4
    .81 c|....5....1....... 17 SEQ17
         |-----------------low
         |33232441941121422
         |49662836 63  2951
 
TABLE 10.5 2026 SE Questionnaire (embedded fixed ZOU687WS.TXT  Mar 02 2026 13:09
INPUT: 49 PERSON  18 ITEM  REPORTED: 49 PERSON  18 ITEM  5 CATS WINSTEPS 5.10.0.0
---------------------------------------------------------------------------------
 
MOST UNEXPECTED RESPONSES
         |PERSON
         |33232441 41  1422
MEASURE  |49662836963122951  ITEM
      high-----------------
  -1.83 I|........3.3...... 16 SEQ16
   -.85 E|.3..........25... 14 SEQ14
   -.44 B|.2..2............ 12 SEQ12
   -.31 D|.2..2......2..... 13 SEQ13
   -.27 H|................4  3 SEQ3
   -.06 A|..1......5....54. 11 SEQ11
    .02 i|................4 18 SEQ18
    .03 G|..2..............  5 SEQ5
    .09 C|..1..............  7 SEQ7
    .13 g|.......2.........  2 SEQ2
    .36 h|......2.......... 10 SEQ10
    .95 d|...2.5...........  4 SEQ4
   1.02 c|....5....1....... 17 SEQ17
   1.55 F|255.5............  1 SEQ1
   1.55 f|.5.5.............  6 SEQ6
         |-----------------low
         |33232441941121422
         |49662836 63  2951
 
TABLE 10.6 2026 SE Questionnaire (embedded fixed ZOU687WS.TXT  Mar 02 2026 13:09
INPUT: 49 PERSON  18 ITEM  REPORTED: 49 PERSON  18 ITEM  5 CATS WINSTEPS 5.10.0.0
---------------------------------------------------------------------------------
 
MOST UNEXPECTED RESPONSES
 
--------------------------------------------------------------------------------------
| DATA |OBSERVED|EXPECTED|RESIDUAL|ST. RES.|MEASDIFF| ITEM  | PERSON | ITEM  | PERSON|
|------+--------+--------+--------+--------+--------+-------+--------+-------+-------|
|    1 |      1 |   4.11 |  -3.11 |  -5.34 |   2.02 |    11 |     26 | SEQ11 | P026  |
|    1 |      1 |   4.05 |  -3.05 |  -5.20 |   1.86 |     7 |     26 | SEQ7  | P026  |
|    2 |      2 |   4.23 |  -2.23 |  -3.90 |   2.40 |    12 |     39 | SEQ12 | P039  |
|    2 |      2 |   4.19 |  -2.19 |  -3.81 |   2.27 |    13 |     39 | SEQ13 | P039  |
|    2 |      2 |   4.13 |  -2.13 |  -3.69 |   2.10 |    12 |     22 | SEQ12 | P022  |
|    2 |      2 |   4.12 |  -2.12 |  -3.65 |   2.05 |     1 |     34 | SEQ1  | P034  |
|    2 |      2 |   4.09 |  -2.09 |  -3.58 |   1.97 |    13 |     22 | SEQ13 | P022  |
|    2 |      2 |   4.07 |  -2.07 |  -3.55 |   1.92 |     5 |     26 | SEQ5  | P026  |
|    4 |      4 |   1.81 |   2.19 |   3.02 |  -2.11 |    18 |     21 | SEQ18 | P021  |
|    5 |      5 |   2.61 |   2.39 |   2.85 |   -.85 |    11 |     49 | SEQ11 | P049  |
|    4 |      4 |   1.96 |   2.04 |   2.66 |  -1.83 |     3 |     21 | SEQ3  | P021  |
|    3 |      3 |   4.37 |  -1.37 |  -2.43 |   2.81 |    14 |     39 | SEQ14 | P039  |
|    2 |      2 |   3.62 |  -1.62 |  -2.33 |    .76 |     2 |     16 | SEQ2  | P016  |
|    2 |      2 |   3.61 |  -1.61 |  -2.31 |    .74 |    14 |      2 | SEQ14 | P002  |
|    2 |      2 |   3.59 |  -1.59 |  -2.27 |    .71 |     4 |     36 | SEQ4  | P036  |
|    5 |      5 |   3.26 |   1.74 |   2.22 |    .11 |     6 |     36 | SEQ6  | P036  |
|    5 |      5 |   3.26 |   1.74 |   2.22 |    .11 |     1 |     22 | SEQ1  | P022  |
|    2 |      2 |   3.56 |  -1.56 |  -2.21 |    .66 |    10 |     43 | SEQ10 | P043  |
|    4 |      4 |   2.23 |   1.77 |   2.19 |  -1.41 |    11 |     25 | SEQ11 | P025  |
|    2 |      2 |   3.52 |  -1.52 |  -2.12 |    .58 |    13 |      1 | SEQ13 | P001  |
|    3 |      3 |   4.21 |  -1.21 |  -2.11 |   2.33 |    16 |      9 | SEQ16 | P009  |
|    5 |      5 |   3.43 |   1.57 |   2.11 |    .41 |     6 |     39 | SEQ6  | P039  |
|    5 |      5 |   3.43 |   1.57 |   2.11 |    .41 |     1 |     39 | SEQ1  | P039  |
|    5 |      5 |   3.43 |   1.57 |   2.11 |    .41 |     1 |     26 | SEQ1  | P026  |
|    5 |      5 |   3.44 |   1.56 |   2.10 |    .43 |    11 |     46 | SEQ11 | P046  |
|    1 |      1 |   2.75 |  -1.75 |  -2.08 |   -.65 |    17 |     46 | SEQ17 | P046  |
|    5 |      5 |   3.52 |   1.48 |   2.06 |    .57 |     4 |     48 | SEQ4  | P048  |
|    5 |      5 |   3.56 |   1.44 |   2.03 |    .64 |    17 |     22 | SEQ17 | P022  |
|    5 |      5 |   3.56 |   1.44 |   2.03 |    .65 |    14 |     12 | SEQ14 | P012  |
|    3 |      3 |   4.17 |  -1.17 |  -2.03 |   2.20 |    16 |     13 | SEQ16 | P013  |
|    5 |      5 |   3.63 |   1.37 |   1.99 |    .80 |    12 |     46 | SEQ12 | P046  |
|    5 |      5 |   3.69 |   1.31 |   1.95 |    .92 |    16 |     49 | SEQ16 | P049  |
|    2 |      2 |   3.44 |  -1.44 |  -1.95 |    .43 |    10 |     20 | SEQ10 | P020  |
|    5 |      5 |   3.71 |   1.29 |   1.94 |    .96 |    11 |     16 | SEQ11 | P016  |
|    2 |      2 |   3.43 |  -1.43 |  -1.93 |    .41 |     6 |     26 | SEQ6  | P026  |
|    5 |      5 |   3.73 |   1.27 |   1.93 |   1.01 |     4 |     39 | SEQ4  | P039  |
|    5 |      5 |   3.73 |   1.27 |   1.93 |   1.01 |     4 |     26 | SEQ4  | P026  |
|    2 |      2 |   3.43 |  -1.43 |  -1.92 |    .40 |     9 |     20 | SEQ9  | P020  |
|    2 |      2 |   3.42 |  -1.42 |  -1.90 |    .39 |    14 |      7 | SEQ14 | P007  |
|    5 |      5 |   3.77 |   1.23 |   1.89 |   1.12 |    18 |     47 | SEQ18 | P047  |
|    3 |      3 |   4.10 |  -1.10 |  -1.89 |   2.00 |    16 |     19 | SEQ16 | P019  |
|    5 |      5 |   3.79 |   1.21 |   1.88 |   1.16 |    10 |     48 | SEQ10 | P048  |
|    4 |      4 |   2.45 |   1.55 |   1.87 |  -1.08 |     6 |     44 | SEQ6  | P044  |
|    3 |      3 |   4.09 |  -1.09 |  -1.86 |   1.96 |    12 |      4 | SEQ12 | P004  |
|    3 |      3 |   4.08 |  -1.08 |  -1.85 |   1.94 |    18 |     39 | SEQ18 | P039  |
|    3 |      3 |   4.08 |  -1.08 |  -1.85 |   1.94 |    18 |     26 | SEQ18 | P026  |
|    2 |      2 |   3.39 |  -1.39 |  -1.84 |    .33 |     2 |     44 | SEQ2  | P044  |
|    2 |      2 |   3.39 |  -1.39 |  -1.84 |    .33 |     5 |     46 | SEQ5  | P046  |
|    2 |      2 |   3.39 |  -1.39 |  -1.84 |    .33 |    11 |      1 | SEQ11 | P001  |
|    1 |      1 |   2.54 |  -1.54 |  -1.84 |   -.95 |     5 |     49 | SEQ5  | P049  |
--------------------------------------------------------------------------------------
