"file","group","category","bundle","raw_frequency"
"JPN_B11.txt","JPN","vague_extender","or something like",0
"JPN_B11.txt","JPN","referential","the most important",29
"JPN_B11.txt","JPN","stance","there are many",58
"JPN_B11.txt","JPN","stance","there is no",10
"JPN_B11.txt","JPN","vague_extender","things like that",0
"JPN_B11.txt","JPN","discourse_organizer","to sum up",0
"JPN_B11.txt","JPN","stance","we have to",62
"JPN_B11.txt","JPN","stance","we should not",11
"JPN_B11.txt","JPN","discourse_organizer","what is more",5
"JPN_B12.txt","JPN","referential","a lot of",65
"JPN_B12.txt","JPN","vague_extender","and so forth",0
"JPN_B12.txt","JPN","vague_extender","and so on",35
"JPN_B12.txt","JPN","discourse_organizer","as a result",3
"JPN_B12.txt","JPN","referential","be able to",12
"JPN_B12.txt","JPN","referential","because of the",6
"JPN_B12.txt","JPN","referential","due to the",0
"JPN_B12.txt","JPN","discourse_organizer","first of all",12
"JPN_B12.txt","JPN","stance","i agree with",107
"JPN_B12.txt","JPN","stance","i believe that",2
"JPN_B12.txt","JPN","stance","i disagree with",37
"JPN_B12.txt","JPN","stance","i do not",2
"JPN_B12.txt","JPN","stance","i think it",55
"JPN_B12.txt","JPN","stance","i think that",66
"JPN_B12.txt","JPN","stance","in my opinion",14
"JPN_B12.txt","JPN","referential","in order to",14
"JPN_B12.txt","JPN","stance","it is better",0
"JPN_B12.txt","JPN","stance","it is difficult",11
"JPN_B12.txt","JPN","stance","it is important",73
"JPN_B12.txt","JPN","stance","it is necessary",3
"JPN_B12.txt","JPN","referential","many kinds of",6
"JPN_B12.txt","JPN","referential","more and more",11
"JPN_B12.txt","JPN","discourse_organizer","on the other hand",1
"JPN_B12.txt","JPN","referential","one of the",8
"JPN_B12.txt","JPN","vague_extender","or something like",1
"JPN_B12.txt","JPN","referential","the most important",9
"JPN_B12.txt","JPN","stance","there are many",18
"JPN_B12.txt","JPN","stance","there is no",6
"JPN_B12.txt","JPN","vague_extender","things like that",0
"JPN_B12.txt","JPN","discourse_organizer","to sum up",0
"JPN_B12.txt","JPN","stance","we have to",24
"JPN_B12.txt","JPN","stance","we should not",6
"JPN_B12.txt","JPN","discourse_organizer","what is more",2
"JPN_B20.txt","JPN","referential","a lot of",41
"JPN_B20.txt","JPN","vague_extender","and so forth",1
"JPN_B20.txt","JPN","vague_extender","and so on",13
"JPN_B20.txt","JPN","discourse_organizer","as a result",4
"JPN_B20.txt","JPN","referential","be able to",6
"JPN_B20.txt","JPN","referential","because of the",2
"JPN_B20.txt","JPN","referential","due to the",1
"JPN_B20.txt","JPN","discourse_organizer","first of all",5
"JPN_B20.txt","JPN","stance","i agree with",53
"JPN_B20.txt","JPN","stance","i believe that",1
"JPN_B20.txt","JPN","stance","i disagree with",12
"JPN_B20.txt","JPN","stance","i do not",4
"JPN_B20.txt","JPN","stance","i think it",40
"JPN_B20.txt","JPN","stance","i think that",17
"JPN_B20.txt","JPN","stance","in my opinion",6
"JPN_B20.txt","JPN","referential","in order to",5
"JPN_B20.txt","JPN","stance","it is better",1
"JPN_B20.txt","JPN","stance","it is difficult",3
"JPN_B20.txt","JPN","stance","it is important",39
"JPN_B20.txt","JPN","stance","it is necessary",2
"JPN_B20.txt","JPN","referential","many kinds of",8
"JPN_B20.txt","JPN","referential","more and more",5
